Company Name,Symbol,,,,,,,,,
ABB Ltd,ABB,,,,,,,,,
Alfa Laval AB,ALFA,,,,,,,,,
Autoliv Inc. SDB,ALIV-SDB,,,,,,,,,
ASSA ABLOY AB ser. B,ASSA-B,,,,,,,,,
Atlas Copco AB ser. A,ATCO-A,,,,,,,,,
Atlas Copco AB ser. B,ATCO-B,,,,,,,,,
Axfood AB,AXFO,,,,,,,,,
Avanza AB,AZA,,,,,,,,,
AstraZeneca PLC,AZN,,,,,,,,,
Fastighets AB Balder ser. B,BALD-B,,,,,,,,,
Beijer Ref AB ser. B,BEIJ-B,,,,,,,,,
Boliden AB,BOL,,,,,,,,,
Castellum AB,CAST,,,,,,,,,
Elekta AB ser. B,EKTA-B,,,,,,,,,
"Electrolux, AB ser. B",ELUX-B,,,,,,,,,
Embracer Group AB ser. B,EMBRAC-B,,,,,,,,,
Epiroc AB ser. A,EPI-A,,,,,,,,,
EQT AB,EQT,,,,,,,,,
"Ericsson, Telefonab. L M ser. ",ERIC-B,,,,,,,,,
ESSITY AKTIEBOLAG SER. B,ESSITY-B,,,,,,,,,
Evolution AB,EVO,,,,,,,,,
Fabege AB,FABG,,,,,,,,,
Getinge AB ser. B,GETI-B,,,,,,,,,
Hexagon AB ser. B,HEXA-B,,,,,,,,,
"Hennes & Mauritz AB, H & M ser",HM-B,,,,,,,,,
Holmen AB ser. B,HOLM-B,,,,,,,,,
Hexatronic Group AB,HTRO,,,,,,,,,
Husqvarna AB ser. B,HUSQ-B,,,,,,,,,
"Industrivarden, AB ser. A",INDU-A,,,,,,,,,
"Industrivarden, AB ser. C",INDU-C,,,,,,,,,
Intrum AB,INTRUM,,,,,,,,,
Investor AB ser. A,INVE-A,,,,,,,,,
Investor AB ser. B,INVE-B,,,,,,,,,
Kindred Group plc,KIND-SDB,,,,,,,,,
Kinnevik AB ser. B,KINV-B,,,,,,,,,
Lifco AB Ser. B,LIFCO-B,,,,,,,,,
Nordea Bank Abp,NDA-SE,,,,,,,,,
NIBE Industrier AB ser. B,NIBE-B,,,,,,,,,
SAAB AB ser. B,SAAB-B,,,,,,,,,
Sagax AB B,SAGA-B,,,,,,,,,
Sandvik AB,SAND,,,,,,,,,
SamhAllsbyggnadsbolaget i Nord,SBB-B,,,,,,,,,
Svenska Cellulosa AB SCA ser. ,SCA-B,,,,,,,,,
Skand. Enskilda Banken ser. A,SEB-A,,,,,,,,,
Securitas AB ser. B,SECU-B,,,,,,,,,
Svenska Handelsbanken ser. A,SHB-A,,,,,,,,,
Sinch AB,SINCH,,,,,,,,,
Skanska AB ser. B,SKA-B,,,,,,,,,
"SKF, AB ser. B",SKF-B,,,,,,,,,
Swedish Orphan Biovitrum AB,SOBI,,,,,,,,,
SSAB AB ser. A,SSAB-A,,,,,,,,,
SSAB AB ser. B,SSAB-B,,,,,,,,,
Swedbank AB ser A,SWED-A,,,,,,,,,
Tele2 AB ser. B,TEL2-B,,,,,,,,,
Telia Company AB (publ),TELIA,,,,,,,,,
Thule Group AB,THULE,,,,,,,,,
Millicom International Cellula,TIGO-SDB,,,,,,,,,
Trelleborg AB ser. B,TREL-B,,,,,,,,,
Volvo Car AB ser. B,VOLCAR-B,,,,,,,,,
"Volvo, AB ser. B",VOLV-B,,,,,,,,,
,,,,,,,,,,
