Company Name,Symbol,,,,,,,,,
TRATON SE,8TRA,,,,,,,,,
AAK AB,AAK,,,,,,,,,
ABB Ltd,ABB,,,,,,,,,
Abliva AB,ABLI,,,,,,,,,
AcadeMedia AB,ACAD,,,,,,,,,
Ascelia Pharma AB,ACE,,,,,,,,,
Acrinova AB ser. A,ACRI-A,,,,,,,,,
Acrinova AB ser. B,ACRI-B,,,,,,,,,
Active Biotech AB,ACTI,,,,,,,,,
Addtech AB ser. B,ADDT-B,,,,,,,,,
AFRY AB,AFRY,,,,,,,,,
Alfa Laval AB,ALFA,,,,,,,,,
AddLife AB ser. B,ALIF-B,,,,,,,,,
Alimak Group AB,ALIG,,,,,,,,,
Autoliv Inc. SDB,ALIV-SDB,,,,,,,,,
Alleima AB,ALLEI,,,,,,,,,
Alligo AB ser. B,ALLIGO-B,,,,,,,,,
Ambea AB,AMBEA,,,,,,,,,
ANNEHEM FASTIGHETER AB,ANNE-B,,,,,,,,,
Addnode Group AB ser. B,ANOD-B,,,,,,,,,
Anoto Group AB,ANOT,,,,,,,,,
Africa Oil Corp.,AOI,,,,,,,,,
AQ Group AB,AQ,,,,,,,,,
Arion Banki hf SDB,ARION-SDB,,,,,,,,,
Arise AB,ARISE,,,,,,,,,
Arjo AB ser. B,ARJO-B,,,,,,,,,
Arctic Paper S.A.,ARP,,,,,,,,,
Arla Plast AB,ARPL,,,,,,,,,
ASSA ABLOY AB ser. B,ASSA-B,,,,,,,,,
Atlas Copco AB ser. A,ATCO-A,,,,,,,,,
Atlas Copco AB ser. B,ATCO-B,,,,,,,,,
Actic Group AB,ATIC,,,,,,,,,
Alligator Bioscience AB,ATORX,,,,,,,,,
Atrium Ljungberg AB ser. B,ATRLJ-B,,,,,,,,,
ATTENDO AB,ATT,,,,,,,,,
Axfood AB,AXFO,,,,,,,,,
Avanza AB,AZA,,,,,,,,,
AstraZeneca PLC,AZN,,,,,,,,,
B3 Consulting Group AB,B3,,,,,,,,,
Bactiguard Holding AB Ser. B,BACTI-B,,,,,,,,,
Balco Group AB,BALCO,,,,,,,,,
Fastighets AB Balder ser. B,BALD-B,,,,,,,,,
BE Group AB,BEGR,,,,,,,,,
Beijer Alma AB ser. B,BEIA-B,,,,,,,,,
Beijer Ref AB ser. B,BEIJ-B,,,,,,,,,
Bergman & Beving Aktiebolag se,BERG-B,,,,,,,,,
Besqab AB,BESQ,,,,,,,,,
Better Collective A/S,BETCO,,,,,,,,,
Betsson AB ser. B,BETS-B,,,,,,,,,
Byggfakta Group Nordic HoldCo ,BFG,,,,,,,,,
BHG Group AB,BHG,,,,,,,,,
BICO Group AB,BICO,,,,,,,,,
Bilia AB ser. A,BILI-A,,,,,,,,,
Billerud Aktiebolag,BILL,,,,,,,,,
BioInvent International AB,BINV,,,,,,,,,
BioArctic AB ser. B,BIOA-B,,,,,,,,,
BioGaia AB ser. B,BIOG-B,,,,,,,,,
Biotage AB,BIOT,,,,,,,,,
Byggmax Group AB,BMAX,,,,,,,,,
Boliden AB,BOL,,,,,,,,,
Bonava AB ser. A,BONAV-A,,,,,,,,,
Bonava AB ser. B,BONAV-B,,,,,,,,,
BONESUPPORT HOLDING AB,BONEX,,,,,,,,,
Bong AB,BONG,,,,,,,,,
Boozt AB,BOOZT,,,,,,,,,
Bjorn Borg AB,BORG,,,,,,,,,
Boule Diagnostics AB,BOUL,,,,,,,,,
Bravida Holding AB,BRAV,,,,,,,,,
Brinova Fastigheter AB ser. B,BRIN-B,,,,,,,,,
BTS Group AB ser. B,BTS-B,,,,,,,,,
Bufab AB,BUFAB,,,,,,,,,
Bulten AB,BULTEN,,,,,,,,,
Bure Equity AB,BURE,,,,,,,,,
Calliditas Therapeutics AB,CALTX,,,,,,,,,
CAMURUS AB,CAMX,,,,,,,,,
Cantargia AB,CANTA,,,,,,,,,
Castellum AB,CAST,,,,,,,,,
Catella AB ser. A,CAT-A,,,,,,,,,
Catella AB ser. B,CAT-B,,,,,,,,,
Catena AB,CATE,,,,,,,,,
Christian Berner Tech Trade AB,CBTT-B,,,,,,,,,
Cavotec SA,CCC,,,,,,,,,
CellaVision AB,CEVI,,,,,,,,,
Cibus Nordic Real Estate AB,CIBUS,,,,,,,,,
Cint Group AB,CINT,,,,,,,,,
"Cloetta AB, Ser. B",CLA-B,,,,,,,,,
Clas Ohlson AB ser. B,CLAS-B,,,,,,,,,
Concejo AB ser. B,CNCJO-B,,,,,,,,,
Concentric AB,COIC,,,,,,,,,
Coor Service Management Holdin,COOR,,,,,,,,,
Copperstone Resources AB,COPP,,,,,,,,,
Corem Property Group AB ser. A,CORE-A,,,,,,,,,
Corem Property Group AB ser. B,CORE-B,,,,,,,,,
Corem Property Group AB ser. D,CORE-D,,,,,,,,,
"C-RAD AB, ser. B",CRAD-B,,,,,,,,,
CoinShares International Ltd,CS,,,,,,,,,
CTEK AB,CTEK,,,,,,,,,
Catena Media P.L.C,CTM,,,,,,,,,
CTT Systems AB,CTT,,,,,,,,,
Dedicare AB ser. B,DEDI,,,,,,,,,
Dios AB,DIOS,,,,,,,,,
DOMETIC GROUP AB,DOM,,,,,,,,,
DORO AB,DORO,,,,,,,,,
DUNI,DUNI,,,,,,,,,
