Company Name,Security-Symbol,,,,,,,,,
TRATON SE,8TRA,,,,,,,,,
AAK AB,AAK,,,,,,,,,
ABB Ltd,ABB,,,,,,,,,
Addtech AB ser. B,ADDT-B,,,,,,,,,
AFRY AB,AFRY,,,,,,,,,
Alfa Laval AB,ALFA,,,,,,,,,
AddLife AB ser. B,ALIF-B,,,,,,,,,
Autoliv Inc. SDB,ALIV-SDB,,,,,,,,,
Alleima AB,ALLEI,,,,,,,,,
Addnode Group AB ser. B,ANOD-B,,,,,,,,,
Arion Banki hf SDB,ARION-SDB,,,,,,,,,
Arjo AB ser. B,ARJO-B,,,,,,,,,
ASSA ABLOY AB ser. B,ASSA-B,,,,,,,,,
Atlas Copco AB ser. A,ATCO-A,,,,,,,,,
Atlas Copco AB ser. B,ATCO-B,,,,,,,,,
Atrium Ljungberg AB ser. B,ATRLJ-B,,,,,,,,,
Axfood AB,AXFO,,,,,,,,,
Avanza AB,AZA,,,,,,,,,
AstraZeneca PLC,AZN,,,,,,,,,
Fastighets AB Balder ser. B,BALD-B,,,,,,,,,
Beijer Ref AB ser. B,BEIJ-B,,,,,,,,,
Better Collective A/S,BETCO,,,,,,,,,
Betsson AB ser. B,BETS-B,,,,,,,,,
Bilia AB ser. A,BILI-A,,,,,,,,,
Billerud Aktiebolag,BILL,,,,,,,,,
BioArctic AB ser. B,BIOA-B,,,,,,,,,
Biotage AB,BIOT,,,,,,,,,
Boliden AB,BOL,,,,,,,,,
Bravida Holding AB,BRAV,,,,,,,,,
Bure Equity AB,BURE,,,,,,,,,
CAMURUS AB,CAMX,,,,,,,,,
Castellum AB,CAST,,,,,,,,,
Catena AB,CATE,,,,,,,,,
Corem Property Group AB ser. A,CORE-A,,,,,,,,,
Corem Property Group AB ser. B,CORE-B,,,,,,,,,
Corem Property Group AB ser. D,CORE-D,,,,,,,,,
Dios AB,DIOS,,,,,,,,,
DOMETIC GROUP AB,DOM,,,,,,,,,
Elekta AB ser. B,EKTA-B,,,,,,,,,
"Electrolux, AB ser. A",ELUX-A,,,,,,,,,
"Electrolux, AB ser. B",ELUX-B,,,,,,,,,
Embracer Group AB ser. B,EMBRAC-B,,,,,,,,,
Epiroc AB ser. A,EPI-A,,,,,,,,,
Epiroc AB ser. B,EPI-B,,,,,,,,,
Electrolux Professional AB ser,EPRO-B,,,,,,,,,
EQT AB,EQT,,,,,,,,,
"Ericsson, Telefonab. L M ser. ",ERIC-A,,,,,,,,,
"Ericsson, Telefonab. L M ser. ",ERIC-B,,,,,,,,,
ESSITY AKTIEBOLAG SER. A,ESSITY-A,,,,,,,,,
ESSITY AKTIEBOLAG SER. B,ESSITY-B,,,,,,,,,
Evolution AB,EVO,,,,,,,,,
Fabege AB,FABG,,,,,,,,,
Fortnox AB,FNOX,,,,,,,,,
Fenix Outdoor International AG,FOI-B,,,,,,,,,
Fastpartner AB ser. A,FPAR-A,,,,,,,,,
Fastpartner AB ser. D,FPAR-D,,,,,,,,,
Getinge AB ser. B,GETI-B,,,,,,,,,
Hemnet Group AB,HEM,,,,,,,,,
Hexagon AB ser. B,HEXA-B,,,,,,,,,
