Company Name,Symbol,,,,,,,,,
AcadeMedia AB,ACAD,,,,,,,,,
Alimak Group AB,ALIG,,,,,,,,,
Alligo AB ser. B,ALLIGO-B,,,,,,,,,
Ambea AB,AMBEA,,,,,,,,,
Africa Oil Corp.,AOI,,,,,,,,,
AQ Group AB,AQ,,,,,,,,,
Arise AB,ARISE,,,,,,,,,
Arctic Paper S.A.,ARP,,,,,,,,,
ATTENDO AB,ATT,,,,,,,,,
Bactiguard Holding AB Ser. B,BACTI-B,,,,,,,,,
Beijer Alma AB ser. B,BEIA-B,,,,,,,,,
Bergman & Beving Aktiebolag se,BERG-B,,,,,,,,,
Byggfakta Group Nordic HoldCo ,BFG,,,,,,,,,
BHG Group AB,BHG,,,,,,,,,
BICO Group AB,BICO,,,,,,,,,
BioInvent International AB,BINV,,,,,,,,,
BioGaia AB ser. B,BIOG-B,,,,,,,,,
Byggmax Group AB,BMAX,,,,,,,,,
Bonava AB ser. A,BONAV-A,,,,,,,,,
Bonava AB ser. B,BONAV-B,,,,,,,,,
BONESUPPORT HOLDING AB,BONEX,,,,,,,,,
Boozt AB,BOOZT,,,,,,,,,
Brinova Fastigheter AB ser. B,BRIN-B,,,,,,,,,
BTS Group AB ser. B,BTS-B,,,,,,,,,
Bufab AB,BUFAB,,,,,,,,,
Calliditas Therapeutics AB,CALTX,,,,,,,,,
Catella AB ser. A,CAT-A,,,,,,,,,
Catella AB ser. B,CAT-B,,,,,,,,,
Cavotec SA,CCC,,,,,,,,,
CellaVision AB,CEVI,,,,,,,,,
Cibus Nordic Real Estate AB,CIBUS,,,,,,,,,
Cint Group AB,CINT,,,,,,,,,
"Cloetta AB, Ser. B",CLA-B,,,,,,,,,
Clas Ohlson AB ser. B,CLAS-B,,,,,,,,,
Concentric AB,COIC,,,,,,,,,
Coor Service Management Holdin,COOR,,,,,,,,,
Copperstone Resources AB,COPP,,,,,,,,,
CoinShares International Ltd,CS,,,,,,,,,
CTEK AB,CTEK,,,,,,,,,
Catena Media P.L.C,CTM,,,,,,,,,
CTT Systems AB,CTT,,,,,,,,,
DUNI,DUNI,,,,,,,,,
Dustin Group AB,DUST,,,,,,,,,
Eastnine AB,EAST,,,,,,,,,
Elanders AB ser. B,ELAN-B,,,,,,,,,
Fastighetsbolaget Emilshus AB ,EMIL-B,,,,,,,,,
Enea AB,ENEA,,,,,,,,,
engcon AB ser. B,ENGCON-B,,,,,,,,,
"Eolus Vind AB, ser. B",EOLU-B,,,,,,,,,
Ependion AB,EPEN,,,,,,,,,
Ework Group AB,EWRK,,,,,,,,,
Fagerhult Group AB,FAG,,,,,,,,,
Fasadgruppen Group AB,FG,,,,,,,,,
FM Mattsson Mora Group ser. B,FMM-B,,,,,,,,,
G5 Entertainment AB,G5EN,,,,,,,,,
Garo AB,GARO,,,,,,,,,
Gaming Innovation Group Inc.,GIGSEK,,,,,,,,,
Genova Property Group AB,GPG,,,,,,,,,
Green Landscaping Group AB,GREEN,,,,,,,,,
Granges AB,GRNG,,,,,,,,,
HANZA AB,HANZA,,,,,,,,,
Heba Fastighets AB ser. B,HEBA-B,,,,,,,,,
Hansa Biopharma AB,HNSA,,,,,,,,,
Hoist Finance AB,HOFI,,,,,,,,,
Hexatronic Group AB,HTRO,,,,,,,,,
Humana AB,HUM,,,,,,,,,
I.A.R Systems Group AB ser. B,IAR-B,,,,,,,,,
Inwido AB,INWI,,,,,,,,,
ITAB Shop Concept AB ser. B,ITAB,,,,,,,,,
INVISIO AB,IVSO,,,,,,,,,
John Mattson FastighetsfAretag,JOMA,,,,,,,,,
KABE Group AB ser. B,KABE-B,,,,,,,,,
Karnov Group AB,KAR,,,,,,,,,
K-FAST HOLDING AB SER. B,KFAST-B,,,,,,,,,
KlaraBo Sverige AB ser. B,KLARA-B,,,,,,,,,
Know IT AB,KNOW,,,,,,,,,
Lime Technologies AB,LIME,,,,,,,,,
Linc AB,LINC,,,,,,,,,
Logistea AB ser. A,LOGI-A,,,,,,,,,
Logistea AB ser. B,LOGI-B,,,,,,,,,
Lucara Diamond Corp,LUC,,,,,,,,,
Mangold AB,MANG,,,,,,,,,
MedCap AB,MCAP,,,,,,,,,
MEKO AB,MEKO,,,,,,,,,
MilDef Group AB,MILDEF,,,,,,,,,
Momentum Group AB ser. B,MMGR-B,,,,,,,,,
Net Insight AB ser. B,NETI-B,,,,,,,,,
Nivika Fastigheter AB ser. B,NIVI-B,,,,,,,,,
Nederman Holding AB,NMAN,,,,,,,,,
Nobia AB,NOBI,,,,,,,,,
Norion Bank AB,NORION,,,,,,,,,
Norva24 Group AB,NORVA,,,,,,,,,
NOTE AB,NOTE,,,,,,,,,
Nordic Paper Holding AB,NPAPER,,,,,,,,,
Nordic Waterproofing Holding A,NWG,,,,,,,,,
OEM International AB ser. B,OEM-B,,,,,,,,,
"Oresund, Investmentab",ORES,,,,,,,,,
Orron Energy AB,ORRON,,,,,,,,,
Proact IT Group AB,PACT,,,,,,,,,
PowerCell Sweden AB,PCELL,,,,,,,,,
Platzer Fastigheter Holding AB,PLAZ-B,,,,,,,,,
Profoto Holding AB,PRFO,,,,,,,,,
Pricer AB ser. B,PRIC-B,,,,,,,,,
Probi AB,PROB,,,,,,,,,
RaySearch Laboratories AB ser.,RAY-B,,,,,,,,,
Rejlers AB B,REJL-B,,,,,,,,,
Resurs Holding AB,RESURS,,,,,,,,,
Rottneros AB,RROS,,,,,,,,,
Rusta AB,RUSTA,,,,,,,,,
RVRC Holding AB,RVRC,,,,,,,,,
Scandi Standard AB,SCST,,,,,,,,,
Sdiptech AB B,SDIP-B,,,,,,,,,
Sedana Medical AB,SEDANA,,,,,,,,,
Stillfront Group AB,SF,,,,,,,,,
Scandic Hotels Group AB,SHOT,,,,,,,,,
SkiStar AB ser. B,SKIS-B,,,,,,,,,
Swedish Logistic Property AB s,SLP-B,,,,,,,,,
Stendorren Fastigheter AB,STEF-B,,,,,,,,,
Synsam AB,SYNSAM,,,,,,,,,
Tobii Dynavox AB,TDVOX,,,,,,,,,
Tethys Oil AB,TETY,,,,,,,,,
TF Bank AB,TFBANK,,,,,,,,,
Traction AB ser. B,TRAC-B,,,,,,,,,
Fastighets AB Trianon ser. B,TRIAN-B,,,,,,,,,
VBG GROUP AB ser. B,VBG-B,,,,,,,,,
Vestum AB,VESTUM,,,,,,,,,
VNV Global AB,VNV,,,,,,,,,
Volati AB,VOLO,,,,,,,,,
Viaplay Group AB ser. A,VPLAY-A,,,,,,,,,
Viaplay Group AB ser. B,VPLAY-B,,,,,,,,,
XANO Industri AB ser. B,XANO-B,,,,,,,,,
XVIVO PERFUSION AB,XVIVO,,,,,,,,,
