Company Name,Symbol,,,,,,,,,
Abliva AB,ABLI,,,,,,,,,
Ascelia Pharma AB,ACE,,,,,,,,,
Acrinova AB ser. A,ACRI-A,,,,,,,,,
Acrinova AB ser. B,ACRI-B,,,,,,,,,
Active Biotech AB,ACTI,,,,,,,,,
ANNEHEM FASTIGHETER AB,ANNE-B,,,,,,,,,
Anoto Group AB,ANOT,,,,,,,,,
Arla Plast AB,ARPL,,,,,,,,,
Actic Group AB,ATIC,,,,,,,,,
Alligator Bioscience AB,ATORX,,,,,,,,,
B3 Consulting Group AB,B3,,,,,,,,,
Balco Group AB,BALCO,,,,,,,,,
BE Group AB,BEGR,,,,,,,,,
Besqab AB,BESQ,,,,,,,,,
Bong AB,BONG,,,,,,,,,
Bjorn Borg AB,BORG,,,,,,,,,
Boule Diagnostics AB,BOUL,,,,,,,,,
Bulten AB,BULTEN,,,,,,,,,
Cantargia AB,CANTA,,,,,,,,,
Christian Berner Tech Trade AB,CBTT-B,,,,,,,,,
Concejo AB ser. B,CNCJO-B,,,,,,,,,
"C-RAD AB, ser. B",CRAD-B,,,,,,,,,
Dedicare AB ser. B,DEDI,,,,,,,,,
DORO AB,DORO,,,,,,,,,
Duroc AB ser. B,DURC-B,,,,,,,,,
Egetis Therapeutics AB,EGTX,,,,,,,,,
Elon AB,ELON,,,,,,,,,
Eltel AB,ELTEL,,,,,,,,,
Eniro Group AB,ENRO,,,,,,,,,
Episurf Medical AB ser. B,EPIS-B,,,,,,,,,
AB Fastator,FASTAT,,,,,,,,,
Fingerprint Cards AB ser. B,FING-B,,,,,,,,,
Ferronordic AB,FNM,,,,,,,,,
FormPipe Software AB,FPIP,,,,,,,,,
HAKI Safety AB ser. A,HAKI-A,,,,,,,,,
HAKI Safety AB ser. B,HAKI-B,,,,,,,,,
Infant Bacterial Therapeutics ,IBT-B,,,,,,,,,
Immunovia AB,IMMNOV,,,,,,,,,
Mendus AB,IMMU,,,,,,,,,
Infrea AB,INFREA,,,,,,,,,
IRLAB Therapeutics AB ser. A,IRLAB-A,,,,,,,,,
Image Systems AB,IS,,,,,,,,,
Isofol Medical AB,ISOFOL,,,,,,,,,
K2A Knaust & Andersson Fastigh,K2A-B,,,,,,,,,
Karolinska Development B,KDEV,,,,,,,,,
Lammhults Design Group ser. B,LAMM-B,,,,,,,,,
Maha Energy AB A,MAHA-A,,,,,,,,,
Malmbergs Elektriska AB ser. B,MEAB-B,,,,,,,,,
Moberg Pharma AB,MOB,,,,,,,,,
Moment Group AB,MOMENT,,,,,,,,,
"Micro Systemation AB, ser. B",MSAB-B,,,,,,,,,
Midsona AB ser. A,MSON-A,,,,,,,,,
Midsona AB ser. B,MSON-B,,,,,,,,,
Medivir AB,MVIR,,,,,,,,,
NAXS AB,NAXS,,,,,,,,,
Nelly Group AB,NELLY,,,,,,,,,
Netel Holding AB,NETEL,,,,,,,,,
NGS Group AB,NGS,,,,,,,,,
Nanologica AB,NICA,,,,,,,,,
Nilorngruppen AB Ser. B,NIL-B,,,,,,,,,
Nordisk Bergteknik AB ser. B,NORB-B,,,,,,,,,
NOVOTEK AB ser. B,NTEK-B,,,,,,,,,
Oncopeptides AB,ONCO,,,,,,,,,
Oscar Properties Holding AB,OP,,,,,,,,,
Ortivus AB ser. A,ORTI-A,,,,,,,,,
Ortivus AB ser. B,ORTI-B,,,,,,,,,
Orexo AB,ORX,,,,,,,,,
Ovzon AB,OVZON,,,,,,,,,
Projektengagemang Sweden AB se,PENG-B,,,,,,,,,
Pierce Group AB,PIERCE,,,,,,,,,
PION Group AB ser. B,PION-B,,,,,,,,,
Precise Biometrics AB,PREC,,,,,,,,,
Prevas AB ser. B,PREV-B,,,,,,,,,
ProfilGruppen AB ser. B,PROF-B,,,,,,,,,
Q-Linea AB,QLINEA,,,,,,,,,
Qliro AB,QLIRO,,,,,,,,,
Railcare Group AB,RAIL,,,,,,,,,
Rizzo Group AB ser. B,RIZZO-B,,,,,,,,,
mySafety Group AB ser. B,SAFETY-B,,,,,,,,,
Saniona AB,SANION,,,,,,,,,
SAS AB,SAS,,,,,,,,,
Seafire AB,SEAF,,,,,,,,,
Senzime,SEZI,,,,,,,,,
Solid Forsakringsaktiebolag,SFAB,,,,,,,,,
Sensys Gatso Group AB,SGG,,,,,,,,,
SinterCast AB,SINT,,,,,,,,,
Sivers Semiconductors AB,SIVE,,,,,,,,,
Sleep Cycle AB,SLEEP,,,,,,,,,
Softronic AB ser. B,SOF-B,,,,,,,,,
Starbreeze AB A,STAR-A,,,,,,,,,
Starbreeze AB,STAR-B,,,,,,,,,
Strax AB,STRAX,,,,,,,,,
Stockwik Forvaltning AB,STWK,,,,,,,,,
Svedbergs Group AB ser. B,SVED-B,,,,,,,,,
Studsvik AB,SVIK,,,,,,,,,
SynAct Pharma AB,SYNACT,,,,,,,,,
Tobii AB,TOBII,,,,,,,,,
TradeDoubler AB,TRAD,,,,,,,,,
Transtema AB,TRANS,,,,,,,,,
Vicore Pharma Holding AB,VICO,,,,,,,,,
Vivesto AB,VIVE,,,,,,,,,
Wastbygg Gruppen AB ser. B,WBGR-B,,,,,,,,,
Wise Group AB,WISE,,,,,,,,,
Wall to Wall Group AB A,WTW-A,,,,,,,,,
Xbrane Biopharma AB,XBRANE,,,,,,,,,
XSpray Pharma AB,XSPRAY,,,,,,,,,
