Company Name,Industry,Symbol,Series,ISIN Code
Adani Enterprises Ltd.,Metals & Mining,HOLM-A.ST,EQ,INE423A01024
Adani Ports and Special Economic Zone Ltd.,Services,VOLCAR-B.ST,EQ,INE742F01042
Apollo Hospitals Enterprise Ltd.,Healthcare,NCC-B.ST,EQ,INE437A01024
Asian Paints Ltd.,Consumer Durables,BILI-A.ST,EQ,INE021A01026
Axis Bank Ltd.,Financial Services,INVE-A.ST,EQ,INE238A01034
Bajaj Auto Ltd.,Automobile and Auto Components,SKA-B.ST,EQ,INE917I01010
Bajaj Finance Ltd.,Financial Services,BOL.ST,EQ,INE296A01024
Bajaj Finserv Ltd.,Financial Services,ESSITY-B.ST,EQ,INE918I01026
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HUFV-A.ST,EQ,INE029A01011
Bharti Airtel Ltd.,Telecommunication,LUG.ST,EQ,INE397D01024
Britannia Industries Ltd.,Fast Moving Consumer Goods,EVO.ST,EQ,INE216A01030
Cipla Ltd.,Healthcare,INDU-C.ST,EQ,INE059A01026
Coal India Ltd.,Oil Gas & Consumable Fuels,WIHL.ST,EQ,INE522F01014
Divi's Laboratories Ltd.,Healthcare,ANOD-B.ST,EQ,INE361B01024
Dr. Reddy's Laboratories Ltd.,Healthcare,STOR-B.ST,EQ,INE089A01023
Eicher Motors Ltd.,Automobile and Auto Components,BETCO.ST,EQ,INE066A01021
Grasim Industries Ltd.,Construction Materials,AZA.ST,EQ,INE047A01021
HCL Technologies Ltd.,Information Technology,SAVE.ST,EQ,INE860A01027
HDFC Bank Ltd.,Financial Services,TELIA.ST,EQ,INE040A01034
HDFC Life Insurance Company Ltd.,Financial Services,HMS.ST,EQ,INE795G01014
Hero MotoCorp Ltd.,Automobile and Auto Components,SEB-C.ST,EQ,INE158A01026
Hindalco Industries Ltd.,Metals & Mining,SSAB-A.ST,EQ,INE038A01020
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,KIND-SDB.ST,EQ,INE030A01027
ICICI Bank Ltd.,Financial Services,GETI-B.ST,EQ,INE090A01021
ITC Ltd.,Fast Moving Consumer Goods,NP3.ST,EQ,INE154A01025
IndusInd Bank Ltd.,Financial Services,SAGA-B.ST,EQ,INE095A01012
Infosys Ltd.,Information Technology,ARION-SDB.ST,EQ,INE009A01021
JSW Steel Ltd.,Metals & Mining,DOM.ST,EQ,INE019A01038
Kotak Mahindra Bank Ltd.,Financial Services,SKF-A.ST,EQ,INE237A01028
LTIMindtree Ltd.,Information Technology,ALLEI.ST,EQ,INE214T01019
Larsen & Toubro Ltd.,Construction,,EQ,INE018A01030
Mahindra & Mahindra Ltd.,Automobile and Auto Components,,EQ,INE101A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,,EQ,INE585B01010
NTPC Ltd.,Power,,EQ,INE733E01010
Nestle India Ltd.,Fast Moving Consumer Goods,,EQ,INE239A01024
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,,EQ,INE213A01029
Power Grid Corporation of India Ltd.,Power,,EQ,INE752E01010
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,,EQ,INE002A01018
SBI Life Insurance Company Ltd.,Financial Services,,EQ,INE123W01016
State Bank of India,Financial Services,,EQ,INE062A01020
Sun Pharmaceutical Industries Ltd.,Healthcare,,EQ,INE044A01036
Tata Consultancy Services Ltd.,Information Technology,,EQ,INE467B01029
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,,EQ,INE192A01025
Tata Motors Ltd.,Automobile and Auto Components,,EQ,INE155A01022
Tata Steel Ltd.,Metals & Mining,,EQ,INE081A01020
Tech Mahindra Ltd.,Information Technology,,EQ,INE669C01036
Titan Company Ltd.,Consumer Durables,,EQ,INE280A01028
UPL Ltd.,Chemicals,,EQ,INE628A01036
UltraTech Cement Ltd.,Construction Materials,,EQ,INE481G01011
Wipro Ltd.,Information Technology,,EQ,INE075A01022
